Savannah St.,88.251058708585,99.452523026267,0.20194391818179,8–18,8,26,43.8,46.6,35.1,48.4,22.8,22.5,28.8,34.6,42.6,44.6,30.5,35.0,8.5,11.0,49.4,52.6,36.1,24.9,63.8,2011,-11.338909311519,66.8,68.6
North Florida,98.176414861321,103.64040138857,0.34913263432343,15–19,15,34,49.4,48.2,42.5,39.4,24.4,21.4,31.3,40.5,49.3,48.2,33.0,32.2,7.4,12.5,53.3,49.1,35.4,27.9,66.9,2011,-9.17886247325,66.1,66.8
Missouri St.,111.63057661968,100.57237785343,0.7684624311537,25–8,25,33,51.7,49.3,38.0,33.3,16.9,18.0,33.0,26.9,49.7,48.3,37.0,34.5,8.2,9.9,54.9,45.9,34.3,28.4,63.3,2011,-0.091885828597811,72.8,69.2
Vanderbilt,114.43310212489,96.270606306509,0.87947993753736,23–10,23,33,52.8,45.7,45.0,28.2,19.1,17.8,32.8,32.2,51.1,45.7,37.0,30.6,11.6,9.6,53.6,46.0,38.5,31.1,68.1,2011,1.800176077014,74.7,70.3
Washington St.,108.46777634095,93.651853403955,0.84409162412115,19–12,19,31,52.3,46.1,35.2,33.9,18.5,21.4,28.5,33.0,51.6,44.8,35.8,32.1,10.3,7.7,51.9,58.5,34.9,39.5,68.4,2011,-0.80787629411282,70.4,72.1
Akron,101.37682643836,98.604904560944,0.5790367856068,22–12,22,34,49.9,46.5,31.9,38.2,17.7,20.5,28.5,33.0,47.3,46.0,36.0,31.8,8.7,6.6,58.4,50.9,38.3,30.4,67.1,2011,-5.4857766445378,70.8,66.3
Bowling Green,95.671119376479,102.26823556666,0.31716080035166,13–19,13,32,47.0,50.9,30.7,38.6,20.4,22.7,30.3,33.2,48.2,49.9,29.3,35.2,9.6,7.5,56.3,65.8,26.6,37.1,65.8,2011,-12.838003819811,64.1,67.0
Memphis,103.55921705182,96.344515015474,0.69645027943793,25–9,25,34,50.3,46.7,39.5,38.5,21.9,21.3,35.4,35.3,51.0,45.3,32.7,33.2,13.6,10.8,57.3,54.5,32.5,31.1,69.1,2011,0.073490002788607,67.9,67.6
Central Arkansas,90.438780245126,110.4710041596,0.091046871515864,2–24,2,26,45.5,56.2,41.5,40.4,22.2,22.2,29.2,35.8,44.8,57.0,31.4,36.2,5.5,12.7,49.3,57.2,32.2,30.4,71.1,2011,-19.563428762507,63.3,70.6
Murray St.,102.56098967628,99.652215933264,0.58197119986294,21–8,21,29,51.0,48.7,46.4,40.5,22.0,23.6,34.6,31.0,48.4,47.2,37.7,35.0,8.1,7.9,59.5,51.0,32.3,28.6,63.4,2011,-3.6389410486045,71.3,69.2
American,102.33332450952,102.91788859581,0.48362956719071,22–9,22,31,50.6,47.5,37.5,37.4,17.7,16.5,29.8,26.2,50.5,44.6,33.8,36.1,7.6,6.2,60.1,51.8,34.8,30.0,61.7,2011,-3.4778403754914,71.8,72.8
Notre Dame,121.75573230169,96.208325051824,0.93751234629309,26–6,26,32,54.1,46.7,45.4,25.5,16.4,15.9,33.8,29.9,51.2,43.7,39.2,35.0,9.4,9.4,66.6,56.1,38.4,33.0,64.6,2011,7.6641133188536,72.5,71.3
Creighton,107.3260942082,99.840808515632,0.69664881616248,19–14,19,33,51.8,47.6,34.9,25.9,19.0,14.9,30.7,27.6,50.6,45.3,35.8,35.2,7.7,9.0,59.4,52.3,37.7,30.9,64.4,2011,-6.0465524309307,72.2,67.6
Duke,118.32830539824,88.935065069544,0.96387233359459,30–4,30,34,53.6,43.8,37.4,30.2,17.3,21.3,35.4,33.5,52.1,42.6,37.5,31.6,9.7,7.7,51.3,49.8,35.6,24.2,70.2,2011,9.2885910943964,75.0,64.4
Indiana St.,102.08750393012,95.554214413071,0.68147754616088,19–13,19,32,48.8,45.9,38.4,45.1,21.4,19.3,31.3,30.0,46.4,44.2,35.5,32.9,12.3,8.4,55.4,53.5,36.1,33.3,66.2,2011,-4.0951515360246,71.3,71.6
UCLA,106.91679653324,93.282159260921,0.8276201296303,22–10,22,32,50.4,45.9,42.8,33.0,22.1,17.9,36.0,31.4,50.9,44.1,32.9,34.2,13.5,7.1,59.6,47.9,29.3,25.3,66.5,2011,1.3089035075698,68.3,66.7
Pacific,103.59398735797,100.95341615237,0.57369215928449,14–15,14,29,50.6,49.3,35.0,29.3,18.8,17.1,30.4,28.4,49.0,47.9,35.3,34.9,5.2,8.7,61.5,55.5,41.1,32.0,61.2,2011,-8.7813632056437,69.5,66.7
Texas A&M,107.94277775883,94.730905268104,0.817790785383,23–8,23,31,49.6,46.5,47.6,36.7,20.3,20.7,37.9,29.7,49.1,45.9,33.7,31.8,4.5,12.0,58.3,51.6,30.7,33.0,62.9,2011,2.4064048583221,70.4,68.9
North Texas,107.39414535961,108.16987679648,0.47931969213508,20–11,20,31,53.0,49.1,50.0,35.7,19.5,16.1,30.8,30.2,52.0,48.8,37.3,33.2,5.4,8.6,48.6,48.4,26.8,29.4,68.3,2011,-6.9880267631866,75.4,67.9
Nevada,102.59905128016,101.8358146413,0.5214539551934,12–19,12,31,48.3,48.1,42.6,41.0,20.7,17.8,33.8,32.2,46.2,46.4,34.8,34.6,9.1,7.8,47.7,51.7,34.4,30.8,68.4,2011,-11.426689938727,68.0,71.1
UTSA,101.13338284652,104.76664328077,0.39989697748993,16–13,16,29,49.4,48.8,41.6,37.8,19.6,19.9,29.9,33.4,46.6,47.9,36.3,33.6,6.9,9.7,53.6,54.0,35.9,39.0,68.1,2011,-9.0774593555062,72.0,70.4
Hartford,92.274462517172,101.02704865103,0.26073730001627,11–20,11,31,45.8,51.3,23.5,38.8,19.3,25.1,27.6,33.0,45.9,48.8,30.5,36.5,8.6,11.2,54.6,57.9,49.5,41.5,64.6,2011,-14.888966233519,60.0,72.1
Mississippi Valley St.,92.771785260295,106.57239957754,0.16870360006007,13–19,13,32,46.0,48.5,38.8,47.2,23.4,20.4,31.8,30.7,44.7,48.8,32.4,32.0,7.2,11.6,52.3,54.8,34.0,31.6,72.6,2011,-11.954020771782,66.5,69.6
Gardner Webb,92.414218956426,104.2215360717,0.20056990235445,9–21,9,30,46.9,51.5,31.4,39.5,22.6,21.4,30.7,29.1,45.6,48.8,32.8,38.0,6.4,10.9,45.8,55.9,35.9,32.6,65.1,2011,-15.017870030201,64.2,72.1
Norfolk St.,96.285203779514,109.0120652091,0.19346433757072,12–20,12,32,48.6,48.5,41.0,47.8,22.6,18.3,32.2,33.6,49.8,46.0,30.7,36.4,14.1,8.2,52.7,49.1,32.0,29.1,69.7,2011,-15.420771358279,67.8,70.1
Chattanooga,96.397170329918,106.4380779716,0.24241305142029,14–16,14,30,48.3,53.4,41.3,33.2,21.2,17.9,30.4,26.1,48.6,53.5,31.9,35.6,4.0,8.8,58.9,62.1,46.3,45.8,70.4,2011,-9.9446161129054,64.8,69.0
Georgia Southern,88.972898102097,107.51077312574,0.10188243982529,2–27,2,29,47.9,55.5,38.2,49.5,25.7,22.6,30.4,34.6,47.5,55.5,32.6,37.0,7.5,8.2,51.3,58.3,26.4,34.8,68.0,2011,-21.03611438204,67.8,69.7
Northern Arizona,103.66298954573,101.84299929884,0.55074879618086,17–12,17,29,54.4,47.0,32.5,36.1,20.0,19.1,30.4,32.4,50.8,45.8,42.4,33.0,10.7,8.6,64.3,50.5,28.1,33.1,66.4,2011,-6.5695592102739,67.4,70.6
Nebraska,103.23824357406,91.648608584181,0.79728191192379,19–12,19,31,51.4,45.3,35.2,34.2,20.5,20.2,29.7,26.8,52.9,42.2,32.1,33.3,11.6,8.7,54.1,52.6,31.0,40.0,63.8,2011,-2.1434091855304,70.0,67.0
Yale,97.937846226572,100.49589598695,0.42640985893607,14–13,14,27,49.4,47.0,39.6,36.2,20.3,17.5,27.2,28.8,48.5,45.0,34.2,34.8,11.0,10.1,53.6,46.6,32.6,27.4,66.8,2011,-7.354760896838,73.4,70.4
Tennessee Martin,96.262347705546,109.1015823166,0.19157250429154,10–21,10,31,47.4,52.7,40.1,38.4,21.7,20.9,29.3,35.6,46.2,53.9,33.4,32.9,6.3,11.4,47.1,57.7,30.6,28.3,69.3,2011,-15.520411609966,74.3,68.6
Morehead St.,103.65677212484,98.780531400701,0.63509170781591,21–9,21,30,51.1,49.3,41.3,38.5,23.4,22.9,41.3,27.9,50.5,45.7,34.9,36.9,10.0,7.5,50.8,61.5,33.0,37.6,64.7,2011,-3.4258651784079,67.4,69.7
Tennessee,109.11094469007,93.849034773696,0.84976943771672,19–14,19,33,47.8,47.5,39.7,38.8,19.5,20.8,38.2,32.1,48.8,46.3,30.4,33.2,10.5,10.4,52.7,52.4,29.8,36.7,67.2,2011,-1.0617316775647,68.3,70.6
Texas St.,98.113223678682,105.98349439491,0.29165618033286,14–15,14,29,49.3,51.5,44.9,44.0,19.4,21.9,30.5,32.5,49.5,52.0,32.6,33.7,7.8,6.1,51.0,54.7,30.8,31.7,74.3,2011,-11.044010150399,67.7,69.0
Jackson St.,93.3747631538,105.80299119548,0.19200827161919,15–15,15,30,47.0,50.1,42.5,53.0,22.7,25.1,34.4,29.6,45.5,48.4,33.4,35.6,9.5,9.5,59.1,52.6,33.5,34.3,64.4,2011,-10.907384044579,64.5,65.4
Mississippi,111.849465401,101.14296605237,0.76080850035644,20–13,20,33,50.8,48.0,35.0,39.1,18.7,19.2,35.3,32.0,49.8,45.6,34.9,35.3,14.3,9.4,47.9,59.7,37.3,32.0,67.5,2011,-3.2677771985824,75.7,72.0
Wyoming,97.709082450711,102.07663727869,0.37686230395416,8–21,8,29,46.9,52.9,41.2,33.5,21.1,21.6,28.5,33.3,49.3,50.5,28.0,38.1,10.8,9.0,44.3,51.5,32.2,36.2,67.4,2011,-12.298228472971,66.9,70.8
Minnesota,109.61102057752,96.318072202591,0.81558883408363,17–14,17,31,49.9,47.3,43.7,29.3,20.4,17.6,37.6,31.6,50.7,43.9,32.1,34.6,16.7,7.8,64.7,64.2,28.6,43.1,66.5,2011,-0.89253868864317,66.0,75.0
Illinois,113.40834312102,91.484494282743,0.92204719585781,19–13,19,32,52.8,45.4,28.6,32.5,19.1,18.4,32.1,31.9,50.4,45.2,38.7,30.5,12.4,7.5,63.0,53.0,31.4,34.8,66.9,2011,1.3546959165757,72.9,72.3
LIU,106.25598434664,102.71579240206,0.59620575979806,27–5,27,32,52.4,48.2,50.6,25.0,20.4,19.9,37.9,32.2,51.2,49.7,36.6,30.0,7.8,7.9,54.0,54.5,31.4,32.6,74.6,2011,-1.0884766784289,64.5,65.3
UTEP,104.70012825817,92.606971873496,0.80399659606372,24–9,24,33,52.1,45.8,41.5,33.0,18.3,21.2,24.8,30.4,50.7,45.7,37.1,30.7,10.4,7.6,60.9,58.0,28.8,36.3,67.9,2011,-1.4445853133616,67.0,67.6
Loyola Chicago,104.78587038,102.05660932315,0.57529784415284,16–15,16,31,48.5,50.4,36.9,33.8,19.4,20.8,36.0,32.2,45.8,48.8,36.2,36.0,9.6,9.2,51.7,54.9,31.9,31.5,65.5,2011,-8.3112346353578,73.7,66.3
